"CoverageClass","MetadataKinds","DefName","Label","ModName","PackageId","BaseCost","BuildingCount","TerrainCount","Terrains","RecipeCount","SurgeryCount","Recipes","NonBuildingThingCount","NonBuildingThings","RequiredAnalyzedCount","RequiredAnalyzed","Techprint","ResearchModCount","ResearchModTypes","PrerequisiteCount","Prerequisites"
"GenericFallbackOnly","","Ferny_PrisonArchitecture","Prison architecture","","","500","0","0","","0","0","","0","","0","","","0","","1","Smithing"
"ThematicMetadata","NonBuildingThing","SecurityClearanceLevels","Security key cards","Security Clearance","7f.SecurityClearance","700","0","0","","0","0","","12","Apparel_SecurityClearanceKeycard_Alpha;Apparel_SecurityClearanceKeycard_Beta;Apparel_SecurityClearanceKeycard_Delta;Apparel_SecurityClearanceKeycard_Epsilon;Apparel_SecurityClearanceKeycard_Gamma;Apparel_SecurityClearanceKeycard_Lambda;Apparel_SecurityClearanceKeycard_Omega;Apparel_SecurityClearanceKeycard_Phi;Apparel_SecurityClearanceKeycard_Tau;Apparel_SecurityClearanceKeycard_Theta;SecurityClearanceBrainImplant;SecurityClearanceChipImplant","0","","","0","","1","Autodoors"
"ThematicMetadata","OtherRecipe;NonBuildingThing","ABT_Research_AS_CataphractArmor","Breacher armor","Armors For All Tech Levels","Bamba.AllBambaArmors","10000","0","0","","2","0","Make_ABT_Apparel_AS_CataphractArmor;Make_ABT_Apparel_AS_CataphractHelmet","2","ABT_Apparel_AS_CataphractArmor;ABT_Apparel_AS_CataphractHelmet","0","","","0","","2","ABT_Research_AS_MarineArmor;CataphractArmor"
"ThematicMetadata","OtherRecipe;NonBuildingThing","ABT_Research_AS_MarineArmor","Vanguard armor","Armors For All Tech Levels","Bamba.AllBambaArmors","8000","0","0","","2","0","Make_ABT_Apparel_AS_MarineArmor;Make_ABT_Apparel_AS_MarineHelmet","2","ABT_Apparel_AS_MarineArmor;ABT_Apparel_AS_MarineHelmet","0","","","0","","2","ABT_Research_AS_ReconArmor;PoweredArmor"
"ThematicMetadata","OtherRecipe;NonBuildingThing","ABT_Research_AS_ReconArmor","Flanker armor","Armors For All Tech Levels","Bamba.AllBambaArmors","12000","0","0","","2","0","Make_ABT_Apparel_AS_ReconArmor;Make_ABT_Apparel_AS_ReconHelmet","2","ABT_Apparel_AS_ReconArmor;ABT_Apparel_AS_ReconHelmet","0","","","0","","1","ReconArmor"
"GenericFallbackOnly","","ABT_Research_IND_CataphractArmor","Heavy-duty suit","Armors For All Tech Levels","Bamba.AllBambaArmors","2500","0","0","","0","0","","0","","0","","","0","","1","ABT_Research_IND_MarineArmor"
"GenericFallbackOnly","","ABT_Research_IND_MarineArmor","Combat suit","Armors For All Tech Levels","Bamba.AllBambaArmors","2500","0","0","","0","0","","0","","0","","","0","","1","ABT_Research_IND_ReconArmor"
"GenericFallbackOnly","","ABT_Research_IND_ReconArmor","Light suit","Armors For All Tech Levels","Bamba.AllBambaArmors","2000","0","0","","0","0","","0","","0","","","0","","2","FlakArmor;MicroelectronicsBasics"
"ThematicMetadata","OtherRecipe;NonBuildingThing;Techprint","CAT_EmpireUltraApparelResearch","Stellic apparels","Imperial Attires","CAT.Imperial.Attires","7500","0","0","","4","0","Make_CAT_MagusHood;Make_CAT_MagusHoodOpen;Make_CAT_PrestigeStellicKnightArmor;Make_CAT_PrestigeStellicKnightHelmet","4","CAT_MagusHood;CAT_MagusHoodOpen;CAT_PrestigeStellicKnightArmor;CAT_PrestigeStellicKnightHelmet","0","","Techprint_CAT_EmpireUltraApparelResearch","0","","1","CataphractArmor"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_AdornedArmor","Adorned armor","Medieval Overhaul","DankPyon.Medieval.Overhaul","1500","0","0","","6","0","Make_DankPyon_Adorned_FlatTop;Make_DankPyon_Adorned_GreatHelm;Make_DankPyon_Adorned_HeavyMailCoif;Make_DankPyon_Apparel_AdornedHeavyPlate;Make_DankPyon_Apparel_AdornedMailShirt;Make_DankPyon_Apparel_AdornedWarriorArmor","6","DankPyon_Adorned_FlatTop;DankPyon_Adorned_GreatHelm;DankPyon_Adorned_HeavyMailCoif;DankPyon_Apparel_AdornedHeavyPlate;DankPyon_Apparel_AdornedMailShirt;DankPyon_Apparel_AdornedWarriorArmor","0","","","0","","1","NobleApparel"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_AdvancedCooking","Advanced cooking","Medieval Overhaul","DankPyon.Medieval.Overhaul","800","0","0","","13","0","DankPyon_CookMealCheeseSoup;DankPyon_CookMealCheeseSoupBulk;DankPyon_CookMealGriffonBerryPie;DankPyon_CookMealGriffonBerryPieBulk;DankPyon_CookMealGriffonBerryPieBulkier;DankPyon_CookMealRoxFeast;DankPyon_CookMealRoxFeast_Bulk;DankPyon_CookMealRoxSteak;DankPyon_CookMealRoxSteakBulk;DankPyon_CookMealSteakWithWine;DankPyon_CookMealSteakWithWineBulk;VCE_CookBakeGourmet;VCE_CookSoupGourmet","7","DankPyon_MealCheeseSoup;DankPyon_MealGriffonBerryPie;DankPyon_MealRoxFeast;DankPyon_MealRoxSteak;DankPyon_MealSteakWithWine;VCE_GourmetBake;VCE_UncookedSoupGourmet","0","","","0","","1","DankPyon_IntermediateCooking"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_BasicBlades","Basic blades","Medieval Overhaul","DankPyon.Medieval.Overhaul","300","0","0","","5","0","Make_DankPyon_MeleeWeapon_ButcherCleaver;Make_DankPyon_MeleeWeapon_Falchion;Make_DankPyon_MeleeWeapon_Hatchet;Make_DankPyon_MeleeWeapon_WoodcuttersAxe;Make_MeleeWeapon_Axe","5","DankPyon_MeleeWeapon_ButcherCleaver;DankPyon_MeleeWeapon_Falchion;DankPyon_MeleeWeapon_Hatchet;DankPyon_MeleeWeapon_WoodcuttersAxe;MeleeWeapon_Axe","0","","","0","","1","Smithing"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_BasicCooking","Basic cooking","Medieval Overhaul","DankPyon.Medieval.Overhaul","400","0","0","","17","0","DankPyon_CookMealFriedEggs;DankPyon_CookMealFriedEggsBulk;DankPyon_CookMealMashedPotatoes;DankPyon_CookMealMashedPotatoesBulk;DankPyon_CookMealPumpkinFritters;DankPyon_CookMealPumpkinFrittersBulk;DankPyon_CookMealRoxRoast;DankPyon_CookMealRoxRoast_Bulk;DankPyon_MakeSausages;DankPyon_MakeSausagesBulk;DankPyon_MakeSpice;DankPyon_MakeSpiceBulk;DankPyon_MakeTallow;DankPyon_MakeTallowBulk;VCE_CookBakeFine;VCE_CookBakeFineBulk;VCE_CookSoupFine","9","DankPyon_MealFriedEggs;DankPyon_MealMashedPotatoes;DankPyon_MealPumpkinFritters;DankPyon_MealRoxRoast;DankPyon_Sausages;DankPyon_Spices;DankPyon_Tallow;VCE_FineBake;VCE_UncookedSoupFine","0","","","0","","1","Ferny_FueledStove"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_BasicMaces","Basic maces","Medieval Overhaul","DankPyon.Medieval.Overhaul","300","0","0","","4","0","Make_DankPyon_MeleeWeapon_Bludgeon;Make_DankPyon_MeleeWeapon_Goedendag;Make_DankPyon_MeleeWeapon_TwoHandedMace;Make_DankPyon_MeleeWeapon_TwoHandedMallet","4","DankPyon_MeleeWeapon_Bludgeon;DankPyon_MeleeWeapon_Goedendag;DankPyon_MeleeWeapon_TwoHandedMace;DankPyon_MeleeWeapon_TwoHandedMallet","0","","","0","","1","Smithing"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_BasicPolearms","Basic polearms","Medieval Overhaul","DankPyon.Medieval.Overhaul","300","0","0","","4","0","Make_DankPyon_MeleeWeapon_HookedBlade;Make_DankPyon_MeleeWeapon_MilitiaSpear;Make_DankPyon_MeleeWeapon_Pitchfork;Make_DankPyon_MeleeWeapon_Warfork","4","DankPyon_MeleeWeapon_HookedBlade;DankPyon_MeleeWeapon_MilitiaSpear;DankPyon_MeleeWeapon_Pitchfork;DankPyon_MeleeWeapon_Warfork","0","","","0","","1","Smithing"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_ChainArmor","Chain armor","Medieval Overhaul","DankPyon.Medieval.Overhaul","1500","0","0","","19","0","Make_DankPyon_Adorned_FlatTop;Make_DankPyon_Adorned_HeavyMailCoif;Make_DankPyon_Apparel_AdornedMailShirt;Make_DankPyon_Apparel_AdornedWarriorArmor;Make_DankPyon_Apparel_ChaussesSplinted;Make_DankPyon_Apparel_Hauberk;Make_DankPyon_Apparel_Heavy_Hauberk;Make_DankPyon_Footwear_BootsSplinted;Make_DankPyon_Handwear_GlovesSplinted;Make_DankPyon_Headgear_ChainClosedFlatTopHelmet;Make_DankPyon_Headgear_ChainCoif;Make_DankPyon_Headgear_ChainCoifFull;Make_DankPyon_Headgear_ChainKettleHelmet;Make_DankPyon_Headgear_ChainNasalHelmet;Make_DankPyon_Headgear_ChainNasalRedHelmet;Make_DankPyon_Headgear_Chain_FlatTopHelmet;Make_DankPyon_Headgear_ZweihanderHelm;Make_DankPyon_Headgear_ZweihanderHelmRoxmont;Make_DankPyon_ShieldHeater","19","DankPyon_Adorned_FlatTop;DankPyon_Adorned_HeavyMailCoif;DankPyon_Apparel_AdornedMailShirt;DankPyon_Apparel_AdornedWarriorArmor;DankPyon_Apparel_ChaussesSplinted;DankPyon_Apparel_Hauberk;DankPyon_Apparel_Heavy_Hauberk;DankPyon_Footwear_BootsSplinted;DankPyon_Handwear_GlovesSplinted;DankPyon_Headgear_ChainClosedFlatTopHelmet;DankPyon_Headgear_ChainCoif;DankPyon_Headgear_ChainCoifFull;DankPyon_Headgear_ChainKettleHelmet;DankPyon_Headgear_ChainNasalHelmet;DankPyon_Headgear_ChainNasalRedHelmet;DankPyon_Headgear_Chain_FlatTopHelmet;DankPyon_Headgear_ZweihanderHelm;DankPyon_Headgear_ZweihanderHelmRoxmont;DankPyon_ShieldHeater","0","","","0","","1","DankPyon_ProtectiveClothing"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_Gunpowder","Gunpowder","Medieval Overhaul","DankPyon.Medieval.Overhaul","1000","0","0","","7","0","DankPyon_MakeGunpowder;DankPyon_MakeGunpowderBulk;Make_DankPyon_Handgonne;Make_DankPyon_Weapon_AcidFlask;Make_DankPyon_Weapon_PotFire;Make_DankPyon_Weapon_PotFlash;Make_DankPyon_Weapon_PotFlashSmoke","6","DankPyon_Gunpowder;DankPyon_Handgonne;DankPyon_Weapon_AcidFlask;DankPyon_Weapon_PotFire;DankPyon_Weapon_PotFlash;DankPyon_Weapon_PotFlashSmoke","0","","","0","","1","DankPyon_Alchemy"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_HuntingBow","Hunting bow","Medieval Overhaul","DankPyon.Medieval.Overhaul","500","0","0","","1","0","Make_DankPyon_Bow_Hunting","1","DankPyon_Bow_Hunting","0","","","0","","1","RecurveBow"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_MilitaryBlades","Military blades","Medieval Overhaul","DankPyon.Medieval.Overhaul","600","0","0","","5","0","Make_DankPyon_MeleeWeapon_ArmingSword;Make_DankPyon_MeleeWeapon_Bardiche;Make_DankPyon_MeleeWeapon_Handaxe;Make_DankPyon_MeleeWeapon_Longaxe;Make_DankPyon_MeleeWeapon_Longsword","5","DankPyon_MeleeWeapon_ArmingSword;DankPyon_MeleeWeapon_Bardiche;DankPyon_MeleeWeapon_Handaxe;DankPyon_MeleeWeapon_Longaxe;DankPyon_MeleeWeapon_Longsword","0","","","0","","1","DankPyon_BasicBlades"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_MilitaryMaces","Military maces","Medieval Overhaul","DankPyon.Medieval.Overhaul","600","0","0","","9","0","Make_DankPyon_MeleeWeapon_BlacksmithHammer;Make_DankPyon_MeleeWeapon_MilitaryPick;Make_DankPyon_MeleeWeapon_MorningStar;Make_DankPyon_MeleeWeapon_NomadMace;Make_DankPyon_MeleeWeapon_Pickaxe;Make_DankPyon_MeleeWeapon_Polehammer;Make_DankPyon_MeleeWeapon_TwoHandedHammer;Make_DankPyon_MeleeWeapon_WingedMace;Make_MeleeWeapon_Warhammer","9","DankPyon_MeleeWeapon_BlacksmithHammer;DankPyon_MeleeWeapon_MilitaryPick;DankPyon_MeleeWeapon_MorningStar;DankPyon_MeleeWeapon_NomadMace;DankPyon_MeleeWeapon_Pickaxe;DankPyon_MeleeWeapon_Polehammer;DankPyon_MeleeWeapon_TwoHandedHammer;DankPyon_MeleeWeapon_WingedMace;MeleeWeapon_Warhammer","0","","","0","","1","DankPyon_BasicMaces"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_MilitaryPolearms","Military polearms","Medieval Overhaul","DankPyon.Medieval.Overhaul","600","0","0","","10","0","Make_DankPyon_MeleeWeapon_Billhook;Make_DankPyon_MeleeWeapon_BoarSpear;Make_DankPyon_MeleeWeapon_Pike;Make_DankPyon_MeleeWeapon_PikeAmboise;Make_DankPyon_MeleeWeapon_PikeHesse;Make_DankPyon_MeleeWeapon_PikeOswin;Make_DankPyon_MeleeWeapon_PikeRoxmont;Make_DankPyon_MeleeWeapon_PikeSoren;Make_DankPyon_MeleeWeapon_Spetum;Make_DankPyon_MeleeWeapon_Swordlance","10","DankPyon_MeleeWeapon_Billhook;DankPyon_MeleeWeapon_BoarSpear;DankPyon_MeleeWeapon_Pike;DankPyon_MeleeWeapon_PikeAmboise;DankPyon_MeleeWeapon_PikeHesse;DankPyon_MeleeWeapon_PikeOswin;DankPyon_MeleeWeapon_PikeRoxmont;DankPyon_MeleeWeapon_PikeSoren;DankPyon_MeleeWeapon_Spetum;DankPyon_MeleeWeapon_Swordlance","0","","","0","","1","DankPyon_BasicPolearms"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_NobleMaces","Noble maces","Medieval Overhaul","DankPyon.Medieval.Overhaul","1000","0","0","","2","0","Make_DankPyon_MeleeWeapon_TwoHandedFlangedMace;Make_DankPyon_MeleeWeapon_Warhammer","2","DankPyon_MeleeWeapon_TwoHandedFlangedMace;DankPyon_MeleeWeapon_Warhammer","0","","","0","","1","DankPyon_MilitaryMaces"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_NoblePolearms","Noble polearms","Medieval Overhaul","DankPyon.Medieval.Overhaul","1000","0","0","","2","0","Make_DankPyon_MeleeWeapon_FightingSpear;Make_DankPyon_MeleeWeapon_Halberd","2","DankPyon_MeleeWeapon_FightingSpear;DankPyon_MeleeWeapon_Halberd","0","","","0","","1","DankPyon_MilitaryPolearms"
"ThematicMetadata","OtherRecipe;NonBuildingThing","DankPyon_Plasteel","Mithril","Medieval Overhaul","DankPyon.Medieval.Overhaul","4000","0","0","","3","0","DankPyon_MakeIngots_Plasteel;DankPyon_MakeIngots_PlasteelBulk;DankPyon_MakeIngots_PlasteelExtraBulk","1","Plasteel","0","","","0","","2","DankPyon_Engineering;DankPyon_Steel"
"ThematicMetadata","Terrain","DankPyon_PlowedSoil","Soil plowing","Medieval Overhaul","DankPyon.Medieval.Overhaul","300","0","1","DankPyon_PlowedSoil","0","0","","0","","0","","","0","","1","VFET_Agriculture"
